line_item_usage_start_date,line_item_usage_end_date,line_item_product_code,line_item_usage_type,line_item_unblended_cost,resource_tags_user_team,resource_tags_user_env,product_region,line_item_usage_account_id
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon EC2,Hrs,291.1264,platform,production,eu-west-1,aws-platform-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon EC2,Hrs,276.9029,platform,staging,us-east-1,aws-platform-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon EC2,Hrs,294.5082,platform,development,us-east-1,aws-platform-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon EC2,Hrs,314.1159,data-eng,production,eu-west-1,aws-data-eng-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon EC2,Hrs,274.755,data-eng,staging,us-west-2,aws-data-eng-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon EC2,Hrs,274.7553,data-eng,development,us-east-1,aws-data-eng-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon EC2,Hrs,315.3744,ml-team,production,us-east-1,aws-ml-team-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon EC2,Hrs,297.1905,ml-team,staging,us-east-1,aws-ml-team-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon EC2,Hrs,269.4838,ml-team,development,eu-west-1,aws-ml-team-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon EC2,Hrs,292.1533,frontend,production,us-east-1,aws-frontend-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon EC2,Hrs,269.6194,frontend,staging,eu-west-1,aws-frontend-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon EC2,Hrs,269.5677,frontend,development,eu-west-1,aws-frontend-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon EC2,Hrs,285.42,backend,production,eu-west-1,aws-backend-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon EC2,Hrs,237.1425,backend,staging,us-east-1,aws-backend-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon EC2,Hrs,241.3618,backend,development,eu-west-1,aws-backend-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon S3,GB-Mo,52.2076,platform,production,us-west-2,aws-platform-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon S3,GB-Mo,50.2372,platform,staging,us-east-1,aws-platform-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon S3,GB-Mo,56.041,platform,development,us-east-1,aws-platform-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon S3,GB-Mo,50.6956,data-eng,production,us-east-1,aws-data-eng-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon S3,GB-Mo,48.4902,data-eng,staging,us-east-1,aws-data-eng-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon S3,GB-Mo,61.0764,data-eng,development,us-east-1,aws-data-eng-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon S3,GB-Mo,53.6793,ml-team,production,eu-west-1,aws-ml-team-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon S3,GB-Mo,54.962,ml-team,staging,eu-west-1,aws-ml-team-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon S3,GB-Mo,48.4358,ml-team,development,us-east-1,aws-ml-team-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon S3,GB-Mo,52.2859,frontend,production,eu-west-1,aws-frontend-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon S3,GB-Mo,55.1518,frontend,staging,us-east-1,aws-frontend-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon S3,GB-Mo,49.633,frontend,development,eu-west-1,aws-frontend-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon S3,GB-Mo,56.3097,backend,production,eu-west-1,aws-backend-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon S3,GB-Mo,52.0399,backend,staging,eu-west-1,aws-backend-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon S3,GB-Mo,53.391,backend,development,eu-west-1,aws-backend-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon RDS,Hrs,95.1863,platform,production,us-west-2,aws-platform-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon RDS,Hrs,114.8182,platform,staging,us-east-1,aws-platform-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon RDS,Hrs,99.892,platform,development,us-west-2,aws-platform-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon RDS,Hrs,91.5383,data-eng,production,eu-west-1,aws-data-eng-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon RDS,Hrs,106.5804,data-eng,staging,us-west-2,aws-data-eng-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon RDS,Hrs,90.2333,data-eng,development,us-east-1,aws-data-eng-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon RDS,Hrs,101.6709,ml-team,production,us-east-1,aws-ml-team-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon RDS,Hrs,84.3226,ml-team,staging,eu-west-1,aws-ml-team-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon RDS,Hrs,89.3745,ml-team,development,us-west-2,aws-ml-team-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon RDS,Hrs,101.5749,frontend,production,us-west-2,aws-frontend-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon RDS,Hrs,105.9077,frontend,staging,us-west-2,aws-frontend-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon RDS,Hrs,101.3709,frontend,development,us-east-1,aws-frontend-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon RDS,Hrs,99.0748,backend,production,us-east-1,aws-backend-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon RDS,Hrs,97.5912,backend,staging,us-west-2,aws-backend-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon RDS,Hrs,88.1718,backend,development,us-east-1,aws-backend-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,AWS Lambda,Requests,21.3613,platform,production,us-east-1,aws-platform-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,AWS Lambda,Requests,21.8314,platform,staging,us-west-2,aws-platform-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,AWS Lambda,Requests,24.5836,platform,development,us-east-1,aws-platform-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,AWS Lambda,Requests,23.2898,data-eng,production,us-west-2,aws-data-eng-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,AWS Lambda,Requests,19.4697,data-eng,staging,us-west-2,aws-data-eng-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,AWS Lambda,Requests,23.2543,data-eng,development,eu-west-1,aws-data-eng-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,AWS Lambda,Requests,21.9684,ml-team,production,us-west-2,aws-ml-team-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,AWS Lambda,Requests,21.4392,ml-team,staging,us-east-1,aws-ml-team-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,AWS Lambda,Requests,23.7758,ml-team,development,eu-west-1,aws-ml-team-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,AWS Lambda,Requests,24.5362,frontend,production,us-west-2,aws-frontend-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,AWS Lambda,Requests,24.3554,frontend,staging,eu-west-1,aws-frontend-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,AWS Lambda,Requests,21.1449,frontend,development,us-east-1,aws-frontend-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,AWS Lambda,Requests,22.106,backend,production,us-west-2,aws-backend-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,AWS Lambda,Requests,23.2674,backend,staging,us-east-1,aws-backend-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,AWS Lambda,Requests,24.4357,backend,development,eu-west-1,aws-backend-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon CloudFront,GB,17.9511,platform,production,us-west-2,aws-platform-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon CloudFront,GB,18.3894,platform,staging,eu-west-1,aws-platform-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon CloudFront,GB,17.0145,platform,development,eu-west-1,aws-platform-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon CloudFront,GB,16.8803,data-eng,production,us-west-2,aws-data-eng-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon CloudFront,GB,19.88,data-eng,staging,eu-west-1,aws-data-eng-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon CloudFront,GB,20.692,data-eng,development,us-east-1,aws-data-eng-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon CloudFront,GB,18.5591,ml-team,production,eu-west-1,aws-ml-team-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon CloudFront,GB,20.1653,ml-team,staging,us-east-1,aws-ml-team-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon CloudFront,GB,19.2067,ml-team,development,us-east-1,aws-ml-team-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon CloudFront,GB,17.7033,frontend,production,eu-west-1,aws-frontend-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon CloudFront,GB,19.2064,frontend,staging,us-east-1,aws-frontend-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon CloudFront,GB,20.9635,frontend,development,us-west-2,aws-frontend-development
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon CloudFront,GB,18.6132,backend,production,us-east-1,aws-backend-production
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon CloudFront,GB,21.0032,backend,staging,us-east-1,aws-backend-staging
2025-10-16T22:01:54Z,2025-10-17T22:01:54Z,Amazon CloudFront,GB,14.7545,backend,development,us-east-1,aws-backend-development
